log10temp;ratioGOES1;ratioGOES2;ratioGOES3;ratioGOES4;ratioGOES5;ratioGOES6;ratioGOES7;ratioGOES8;ratioGOES9;ratioGOES10;ratioGOES11;ratioGOES12;ratioGOES13;ratioGOES14;ratioGOES15
1.8;7.15e-01;7.07e-01;7.07e-01;5.85e-01;6.18e-01;6.50e-01;5.44e-01;5.67e-01;5.64e-01;5.49e-01;5.57e-01;5.55e-01;5.58e-01;5.58e-01;5.60e-01
1.8200000000000001;7.26e-01;7.18e-01;7.18e-01;5.94e-01;6.27e-01;6.60e-01;5.52e-01;5.77e-01;5.73e-01;5.57e-01;5.65e-01;5.64e-01;5.67e-01;5.67e-01;5.69e-01
1.8400000000000001;7.36e-01;7.28e-01;7.28e-01;6.03e-01;6.36e-01;6.70e-01;5.60e-01;5.85e-01;5.82e-01;5.65e-01;5.74e-01;5.72e-01;5.76e-01;5.76e-01;5.78e-01
1.8600000000000001;7.47e-01;7.38e-01;7.38e-01;6.11e-01;6.45e-01;6.79e-01;5.68e-01;5.94e-01;5.90e-01;5.74e-01;5.82e-01;5.80e-01;5.84e-01;5.84e-01;5.86e-01
1.8800000000000001;7.57e-01;7.48e-01;7.48e-01;6.19e-01;6.54e-01;6.89e-01;5.76e-01;6.03e-01;5.99e-01;5.81e-01;5.91e-01;5.89e-01;5.93e-01;5.93e-01;5.95e-01
1.9000000000000001;7.66e-01;7.58e-01;7.58e-01;6.27e-01;6.62e-01;6.98e-01;5.83e-01;6.11e-01;6.07e-01;5.89e-01;5.99e-01;5.96e-01;6.01e-01;6.01e-01;6.03e-01
1.9199999999999999;7.76e-01;7.67e-01;7.67e-01;6.35e-01;6.70e-01;7.07e-01;5.90e-01;6.19e-01;6.15e-01;5.97e-01;6.06e-01;6.04e-01;6.09e-01;6.09e-01;6.10e-01
1.9399999999999999;7.85e-01;7.76e-01;7.76e-01;6.43e-01;6.78e-01;7.16e-01;5.98e-01;6.27e-01;6.22e-01;6.04e-01;6.14e-01;6.12e-01;6.16e-01;6.16e-01;6.18e-01
1.96;7.94e-01;7.85e-01;7.85e-01;6.50e-01;6.86e-01;7.24e-01;6.05e-01;6.34e-01;6.30e-01;6.11e-01;6.21e-01;6.19e-01;6.24e-01;6.24e-01;6.26e-01
1.98;8.03e-01;7.94e-01;7.94e-01;6.57e-01;6.94e-01;7.32e-01;6.11e-01;6.42e-01;6.37e-01;6.18e-01;6.29e-01;6.26e-01;6.31e-01;6.31e-01;6.33e-01
2.0;8.12e-01;8.02e-01;8.02e-01;6.64e-01;7.01e-01;7.41e-01;6.18e-01;6.49e-01;6.44e-01;6.25e-01;6.36e-01;6.33e-01;6.38e-01;6.38e-01;6.40e-01
