# The data in this file represent the relationship between the GOES long (1-8 angstroms) flux and the isothermal temperature of the solar soft X-ray-emitting plasma assuming coronal abundances as modelled by CHIANTI.
# The data in this file were obtained by copying and pasting from the SSW routine goes_get_chianti_em.pro on 2014-04-18.
#
log10temp_MK;longfluxGOES1;longfluxGOES2;longfluxGOES3;longfluxGOES4;longfluxGOES5;longfluxGOES6;longfluxGOES7;longfluxGOES8;longfluxGOES9;longfluxGOES10;longfluxGOES11;longfluxGOES12;longfluxGOES13;longfluxGOES14;longfluxGOES15
0.52000000000000002;9.42e-01;9.68e-01;9.68e-01;8.45e-01;7.96e-01;7.68e-01;8.18e-01;9.85e-01;1.00e+00;8.56e-01;9.26e-01;9.18e-01;9.27e-01;9.27e-01;9.76e-01
0.54000000000000004;1.15e+00;1.18e+00;1.18e+00;1.03e+00;9.68e-01;9.33e-01;9.97e-01;1.19e+00;1.22e+00;1.04e+00;1.12e+00;1.12e+00;1.13e+00;1.13e+00;1.18e+00
0.56000000000000005;1.38e+00;1.42e+00;1.42e+00;1.24e+00;1.17e+00;1.12e+00;1.21e+00;1.44e+00;1.46e+00;1.26e+00;1.36e+00;1.34e+00;1.36e+00;1.36e+00;1.42e+00
0.57999999999999996;1.65e+00;1.70e+00;1.70e+00;1.48e+00;1.40e+00;1.35e+00;1.45e+00;1.72e+00;1.75e+00;1.51e+00;1.62e+00;1.61e+00;1.62e+00;1.62e+00;1.70e+00
0.59999999999999998;1.97e+00;2.02e+00;2.02e+00;1.76e+00;1.66e+00;1.60e+00;1.73e+00;2.04e+00;2.07e+00;1.80e+00;1.93e+00;1.91e+00;1.93e+00;1.93e+00;2.02e+00
0.62;2.32e+00;2.39e+00;2.39e+00;2.08e+00;1.96e+00;1.89e+00;2.04e+00;2.40e+00;2.44e+00;2.12e+00;2.27e+00;2.26e+00;2.28e+00;2.28e+00;2.38e+00
0.64000000000000001;2.73e+00;2.80e+00;2.80e+00;2.44e+00;2.30e+00;2.21e+00;2.40e+00;2.81e+00;2.85e+00;2.49e+00;2.66e+00;2.65e+00;2.67e+00;2.67e+00;2.79e+00
0.66000000000000003;3.18e+00;3.26e+00;3.26e+00;2.85e+00;2.68e+00;2.58e+00;2.81e+00;3.26e+00;3.32e+00;2.91e+00;3.10e+00;3.08e+00;3.11e+00;3.11e+00;3.24e+00
0.68000000000000005;3.68e+00;3.78e+00;3.78e+00;3.30e+00;3.11e+00;2.98e+00;3.26e+00;3.77e+00;3.83e+00;3.38e+00;3.59e+00;3.57e+00;3.60e+00;3.60e+00;3.75e+00
0.70000000000000007;4.24e+00;4.35e+00;4.35e+00;3.80e+00;3.58e+00;3.43e+00;3.76e+00;4.33e+00;4.40e+00;3.89e+00;4.13e+00;4.11e+00;4.14e+00;4.14e+00;4.30e+00
0.71999999999999997;4.85e+00;4.98e+00;4.98e+00;4.35e+00;4.10e+00;3.92e+00;4.31e+00;4.95e+00;5.02e+00;4.46e+00;4.73e+00;4.70e+00;4.73e+00;4.73e+00;4.92e+00
0.73999999999999999;5.52e+00;5.67e+00;5.67e+00;4.95e+00;4.66e+00;4.46e+00;4.92e+00;5.62e+00;5.70e+00;5.08e+00;5.37e+00;5.34e+00;5.38e+00;5.38e+00;5.58e+00
0.76000000000000001;6.24e+00;6.41e+00;6.41e+00;5.60e+00;5.27e+00;5.04e+00;5.58e+00;6.34e+00;6.43e+00;5.75e+00;6.07e+00;6.04e+00;6.08e+00;6.08e+00;6.30e+00
0.78000000000000003;7.02e+00;7.22e+00;7.22e+00;6.30e+00;5.93e+00;5.67e+00;6.29e+00;7.12e+00;7.21e+00;6.48e+00;6.83e+00;6.79e+00;6.84e+00;6.84e+00;7.07e+00
0.80000000000000004;7.85e+00;8.07e+00;8.07e+00;7.04e+00;6.64e+00;6.34e+00;7.05e+00;7.94e+00;8.04e+00;7.25e+00;7.63e+00;7.59e+00;7.64e+00;7.64e+00;7.90e+00
0.82000000000000006;8.74e+00;8.98e+00;8.98e+00;7.84e+00;7.38e+00;7.05e+00;7.86e+00;8.82e+00;8.92e+00;8.08e+00;8.48e+00;8.44e+00;8.49e+00;8.49e+00;8.77e+00
0.83999999999999997;9.67e+00;9.93e+00;9.93e+00;8.67e+00;8.17e+00;7.79e+00;8.71e+00;9.73e+00;9.85e+00;8.94e+00;9.38e+00;9.33e+00;9.39e+00;9.39e+00;9.68e+00
0.85999999999999999;1.06e+01;1.09e+01;1.09e+01;9.54e+00;8.99e+00;8.57e+00;9.61e+00;1.07e+01;1.08e+01;9.85e+00;1.03e+01;1.03e+01;1.03e+01;1.03e+01;1.06e+01
0.88;1.16e+01;1.20e+01;1.20e+01;1.04e+01;9.84e+00;9.37e+00;1.05e+01;1.17e+01;1.18e+01;1.08e+01;1.13e+01;1.12e+01;1.13e+01;1.13e+01;1.16e+01
0.90000000000000002;1.27e+01;1.30e+01;1.30e+01;1.14e+01;1.07e+01;1.02e+01;1.15e+01;1.27e+01;1.28e+01;1.18e+01;1.23e+01;1.22e+01;1.23e+01;1.23e+01;1.26e+01
0.92000000000000004;1.37e+01;1.41e+01;1.41e+01;1.23e+01;1.16e+01;1.11e+01;1.25e+01;1.37e+01;1.39e+01;1.28e+01;1.33e+01;1.32e+01;1.33e+01;1.33e+01;1.37e+01
0.94000000000000006;1.48e+01;1.52e+01;1.52e+01;1.33e+01;1.25e+01;1.19e+01;1.35e+01;1.48e+01;1.49e+01;1.38e+01;1.43e+01;1.43e+01;1.44e+01;1.44e+01;1.47e+01
0.95999999999999996;1.60e+01;1.64e+01;1.64e+01;1.43e+01;1.35e+01;1.28e+01;1.46e+01;1.59e+01;1.60e+01;1.49e+01;1.54e+01;1.54e+01;1.54e+01;1.54e+01;1.58e+01
0.97999999999999998;1.71e+01;1.76e+01;1.76e+01;1.53e+01;1.44e+01;1.37e+01;1.56e+01;1.70e+01;1.71e+01;1.59e+01;1.65e+01;1.64e+01;1.65e+01;1.65e+01;1.69e+01
1.0;1.82e+01;1.87e+01;1.87e+01;1.64e+01;1.54e+01;1.46e+01;1.67e+01;1.81e+01;1.82e+01;1.70e+01;1.76e+01;1.75e+01;1.76e+01;1.76e+01;1.80e+01
1.02;1.94e+01;1.99e+01;1.99e+01;1.74e+01;1.64e+01;1.55e+01;1.78e+01;1.92e+01;1.93e+01;1.81e+01;1.87e+01;1.86e+01;1.87e+01;1.87e+01;1.91e+01
1.04;2.05e+01;2.11e+01;2.11e+01;1.84e+01;1.74e+01;1.65e+01;1.89e+01;2.03e+01;2.04e+01;1.92e+01;1.98e+01;1.97e+01;1.98e+01;1.98e+01;2.02e+01
1.0600000000000001;2.17e+01;2.23e+01;2.23e+01;1.94e+01;1.83e+01;1.74e+01;2.00e+01;2.14e+01;2.15e+01;2.03e+01;2.09e+01;2.08e+01;2.09e+01;2.09e+01;2.13e+01
1.0800000000000001;2.28e+01;2.34e+01;2.34e+01;2.04e+01;1.93e+01;1.82e+01;2.10e+01;2.24e+01;2.26e+01;2.14e+01;2.19e+01;2.19e+01;2.19e+01;2.19e+01;2.23e+01
1.1000000000000001;2.39e+01;2.45e+01;2.45e+01;2.14e+01;2.02e+01;1.91e+01;2.21e+01;2.34e+01;2.36e+01;2.24e+01;2.30e+01;2.29e+01;2.30e+01;2.30e+01;2.34e+01
1.1200000000000001;2.49e+01;2.56e+01;2.56e+01;2.24e+01;2.11e+01;1.99e+01;2.31e+01;2.44e+01;2.45e+01;2.34e+01;2.39e+01;2.39e+01;2.39e+01;2.39e+01;2.43e+01
1.1400000000000001;2.59e+01;2.66e+01;2.66e+01;2.32e+01;2.19e+01;2.07e+01;2.41e+01;2.53e+01;2.54e+01;2.43e+01;2.49e+01;2.48e+01;2.49e+01;2.49e+01;2.52e+01
1.1599999999999999;2.69e+01;2.76e+01;2.76e+01;2.41e+01;2.27e+01;2.14e+01;2.50e+01;2.61e+01;2.63e+01;2.53e+01;2.58e+01;2.57e+01;2.58e+01;2.58e+01;2.61e+01
1.1799999999999999;2.78e+01;2.86e+01;2.86e+01;2.49e+01;2.35e+01;2.22e+01;2.59e+01;2.70e+01;2.71e+01;2.62e+01;2.66e+01;2.66e+01;2.66e+01;2.66e+01;2.69e+01
1.2;2.87e+01;2.95e+01;2.95e+01;2.57e+01;2.43e+01;2.29e+01;2.68e+01;2.78e+01;2.79e+01;2.71e+01;2.75e+01;2.74e+01;2.75e+01;2.75e+01;2.77e+01
1.22;2.96e+01;3.04e+01;3.04e+01;2.66e+01;2.50e+01;2.36e+01;2.78e+01;2.86e+01;2.87e+01;2.79e+01;2.83e+01;2.83e+01;2.83e+01;2.83e+01;2.85e+01
1.24;3.05e+01;3.14e+01;3.14e+01;2.74e+01;2.58e+01;2.43e+01;2.87e+01;2.94e+01;2.95e+01;2.88e+01;2.91e+01;2.91e+01;2.92e+01;2.92e+01;2.94e+01
1.26;3.15e+01;3.24e+01;3.24e+01;2.82e+01;2.66e+01;2.50e+01;2.96e+01;3.02e+01;3.03e+01;2.98e+01;3.00e+01;3.00e+01;3.00e+01;3.00e+01;3.02e+01
1.28;3.25e+01;3.34e+01;3.34e+01;2.91e+01;2.74e+01;2.58e+01;3.06e+01;3.11e+01;3.12e+01;3.07e+01;3.09e+01;3.09e+01;3.09e+01;3.09e+01;3.11e+01
1.3;3.35e+01;3.44e+01;3.44e+01;3.01e+01;2.83e+01;2.66e+01;3.17e+01;3.20e+01;3.21e+01;3.17e+01;3.19e+01;3.19e+01;3.19e+01;3.19e+01;3.20e+01
1.3200000000000001;3.46e+01;3.55e+01;3.55e+01;3.10e+01;2.92e+01;2.74e+01;3.27e+01;3.30e+01;3.30e+01;3.28e+01;3.29e+01;3.29e+01;3.29e+01;3.29e+01;3.30e+01
1.3400000000000001;3.57e+01;3.67e+01;3.67e+01;3.21e+01;3.02e+01;2.83e+01;3.39e+01;3.40e+01;3.40e+01;3.39e+01;3.40e+01;3.40e+01;3.40e+01;3.40e+01;3.40e+01
1.3600000000000001;3.69e+01;3.80e+01;3.80e+01;3.31e+01;3.12e+01;2.93e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01;3.51e+01
1.3800000000000001;3.82e+01;3.93e+01;3.93e+01;3.43e+01;3.23e+01;3.02e+01;3.63e+01;3.62e+01;3.62e+01;3.63e+01;3.63e+01;3.63e+01;3.63e+01;3.63e+01;3.62e+01
1.4000000000000001;3.95e+01;4.06e+01;4.06e+01;3.55e+01;3.34e+01;3.13e+01;3.76e+01;3.74e+01;3.74e+01;3.76e+01;3.75e+01;3.75e+01;3.75e+01;3.75e+01;3.74e+01
1.4199999999999999;4.09e+01;4.21e+01;4.21e+01;3.67e+01;3.46e+01;3.24e+01;3.90e+01;3.87e+01;3.87e+01;3.89e+01;3.88e+01;3.88e+01;3.88e+01;3.88e+01;3.87e+01
1.4399999999999999;4.24e+01;4.36e+01;4.36e+01;3.80e+01;3.58e+01;3.35e+01;4.04e+01;4.00e+01;4.00e+01;4.03e+01;4.02e+01;4.02e+01;4.01e+01;4.01e+01;4.00e+01
1.46;4.39e+01;4.51e+01;4.51e+01;3.94e+01;3.71e+01;3.47e+01;4.19e+01;4.14e+01;4.13e+01;4.18e+01;4.16e+01;4.16e+01;4.16e+01;4.16e+01;4.14e+01
1.48;4.54e+01;4.67e+01;4.67e+01;4.08e+01;3.84e+01;3.59e+01;4.34e+01;4.28e+01;4.27e+01;4.33e+01;4.30e+01;4.30e+01;4.30e+01;4.30e+01;4.28e+01
1.5;4.71e+01;4.84e+01;4.84e+01;4.22e+01;3.98e+01;3.71e+01;4.50e+01;4.42e+01;4.42e+01;4.48e+01;4.45e+01;4.45e+01;4.45e+01;4.45e+01;4.43e+01
1.52;4.87e+01;5.00e+01;5.00e+01;4.37e+01;4.11e+01;3.84e+01;4.66e+01;4.57e+01;4.56e+01;4.64e+01;4.60e+01;4.61e+01;4.60e+01;4.60e+01;4.58e+01
1.54;5.04e+01;5.18e+01;5.18e+01;4.52e+01;4.26e+01;3.97e+01;4.83e+01;4.73e+01;4.72e+01;4.80e+01;4.76e+01;4.77e+01;4.76e+01;4.76e+01;4.73e+01
1.5600000000000001;5.21e+01;5.35e+01;5.35e+01;4.67e+01;4.40e+01;4.10e+01;4.99e+01;4.88e+01;4.87e+01;4.97e+01;4.92e+01;4.92e+01;4.92e+01;4.92e+01;4.89e+01
1.5800000000000001;5.38e+01;5.53e+01;5.53e+01;4.82e+01;4.55e+01;4.24e+01;5.16e+01;5.04e+01;5.03e+01;5.13e+01;5.08e+01;5.09e+01;5.08e+01;5.08e+01;5.05e+01
1.6000000000000001;5.55e+01;5.71e+01;5.71e+01;4.98e+01;4.69e+01;4.37e+01;5.33e+01;5.20e+01;5.18e+01;5.30e+01;5.24e+01;5.25e+01;5.24e+01;5.24e+01;5.20e+01
1.6200000000000001;5.73e+01;5.88e+01;5.88e+01;5.14e+01;4.84e+01;4.51e+01;5.50e+01;5.35e+01;5.34e+01;5.47e+01;5.40e+01;5.41e+01;5.40e+01;5.40e+01;5.36e+01
1.6400000000000001;5.90e+01;6.06e+01;6.06e+01;5.29e+01;4.99e+01;4.64e+01;5.67e+01;5.51e+01;5.50e+01;5.63e+01;5.57e+01;5.57e+01;5.56e+01;5.56e+01;5.52e+01
1.6600000000000001;6.07e+01;6.24e+01;6.24e+01;5.45e+01;5.13e+01;4.78e+01;5.84e+01;5.67e+01;5.65e+01;5.80e+01;5.73e+01;5.73e+01;5.72e+01;5.72e+01;5.68e+01
1.6799999999999999;6.24e+01;6.41e+01;6.41e+01;5.60e+01;5.27e+01;4.91e+01;6.00e+01;5.83e+01;5.81e+01;5.96e+01;5.89e+01;5.89e+01;5.88e+01;5.88e+01;5.84e+01
1.7;6.41e+01;6.58e+01;6.58e+01;5.75e+01;5.41e+01;5.04e+01;6.16e+01;5.98e+01;5.96e+01;6.12e+01;6.04e+01;6.05e+01;6.04e+01;6.04e+01;5.99e+01
1.72;6.57e+01;6.75e+01;6.75e+01;5.89e+01;5.55e+01;5.17e+01;6.32e+01;6.13e+01;6.11e+01;6.28e+01;6.19e+01;6.20e+01;6.19e+01;6.19e+01;6.14e+01
1.74;6.73e+01;6.91e+01;6.91e+01;6.04e+01;5.69e+01;5.29e+01;6.48e+01;6.27e+01;6.25e+01;6.43e+01;6.34e+01;6.35e+01;6.34e+01;6.34e+01;6.28e+01
