0,0,0
1,1,0
3,2,1
4,3,1
6,4,2
7,5,2
9,6,3
10,8,3
12,9,4
13,10,4
15,11,5
16,12,6
18,13,6
19,15,7
21,16,7
22,17,8
24,18,8
26,19,9
27,20,9
29,22,10
30,23,10
32,24,11
33,25,12
35,26,12
36,27,13
38,29,13
39,30,14
41,31,14
42,32,15
44,33,15
45,34,16
47,36,16
49,37,17
50,38,18
52,39,18
53,40,19
55,41,19
56,43,20
58,44,20
59,45,21
61,46,21
62,47,22
64,48,22
65,50,23
67,51,24
68,52,24
70,53,25
72,54,25
73,55,26
75,57,26
76,58,27
78,59,27
79,60,28
81,61,28
82,62,29
84,64,30
85,65,30
87,66,31
88,67,31
90,68,32
91,69,32
93,71,33
95,72,33
96,73,34
98,74,34
99,75,35
101,76,36
102,78,36
104,79,37
105,80,37
107,81,38
108,82,38
110,83,39
111,85,39
113,86,40
114,87,40
116,88,41
118,89,42
119,90,42
121,92,43
122,93,43
124,94,44
125,95,44
127,96,45
128,97,45
130,99,46
131,101,47
133,102,48
134,104,49
136,105,49
137,107,50
139,109,51
140,110,52
141,112,53
143,114,53
144,115,54
146,117,55
147,118,56
149,120,57
150,122,58
152,123,58
153,125,59
155,127,60
156,128,61
158,130,62
159,131,62
160,133,63
162,135,64
163,136,65
165,138,66
166,140,66
168,141,67
169,143,68
171,144,69
172,146,70
174,148,70
175,149,71
177,151,72
178,153,73
179,154,74
181,156,74
182,157,75
184,159,76
185,161,77
187,162,78
188,164,79
190,166,79
191,167,80
193,169,81
194,171,82
196,172,83
197,174,83
198,175,84
200,177,85
201,179,86
203,180,87
204,182,87
206,184,88
207,185,89
209,187,90
210,188,91
212,190,91
213,192,92
215,193,93
216,195,94
217,197,95
219,198,95
220,200,96
222,201,97
223,203,98
225,205,99
226,206,100
228,208,100
229,210,101
231,211,102
232,213,103
234,214,104
235,216,104
236,218,105
238,219,106
239,221,107
241,223,108
242,224,108
244,226,109
245,227,110
247,229,111
248,231,112
250,232,112
251,234,113
252,235,115
252,235,116
252,235,118
252,235,120
252,236,121
252,236,123
252,236,124
252,236,126
252,237,128
252,237,129
252,237,131
252,237,133
252,237,134
252,238,136
252,238,137
252,238,139
252,238,141
252,239,142
252,239,144
252,239,146
252,239,147
252,240,149
252,240,150
252,240,152
252,240,154
252,240,155
252,241,157
252,241,159
252,241,160
253,241,162
253,242,163
253,242,165
253,242,167
253,242,168
253,243,170
253,243,172
253,243,173
253,243,175
253,243,176
253,244,178
253,244,180
253,244,181
253,244,183
253,245,185
253,245,186
253,245,188
253,245,189
253,246,191
253,246,193
253,246,194
253,246,196
253,246,198
253,247,199
253,247,201
253,247,202
253,247,204
253,248,206
253,248,207
254,248,209
254,248,211
254,249,212
254,249,214
254,249,215
254,249,217
254,249,219
254,250,220
254,250,222
254,250,224
254,250,225
254,251,227
254,251,228
254,251,230
254,251,232
254,252,233
254,252,235
254,252,237
254,252,238
254,252,240
254,253,241
254,253,243
254,253,245
254,253,246
254,254,248
254,254,250
254,254,251
254,254,253
255,255,255
